,movie,year,imdb,metascore,votes,grade,runtime,genre,n_imdb
1817,22 Jump Street,2014,7,71,325502,R,112 min,"Action, Comedy, Crime            ",70
1818,The Fault in Our Stars,2014,7.7,69,321561,PG-13,126 min,"Drama, Romance            ",77
1819,Boyhood,2014,7.9,100,319599,R,165 min,Drama            ,79
1820,Maleficent,2014,7,56,314190,PG,97 min,"Action, Adventure, Family            ",70
1821,The Equalizer,2014,7.2,57,309035,R,132 min,"Action, Crime, Thriller            ",72
1822,The Lego Movie,2014,7.8,83,308974,PG,100 min,"Animation, Action, Adventure            ",78
1823,The Interview,2014,6.5,52,290315,R,112 min,"Action, Adventure, Comedy            ",65
1824,Transformers: Age of Extinction,2014,5.6,32,287012,PG-13,165 min,"Action, Adventure, Sci-Fi            ",56
1825,How to Train Your Dragon 2,2014,7.8,76,284903,PG,102 min,"Animation, Action, Adventure            ",78
1826,Neighbors,2014,6.3,68,270154,R,97 min,Comedy            ,63
1827,300: Rise of an Empire,2014,6.2,48,267186,R,102 min,Action            ,62
1828,Non-Stop,2014,7,56,237940,PG-13,106 min,"Action, Mystery, Thriller            ",70
1829,Noah,2014,5.8,68,232045,PG-13,138 min,"Action, Adventure, Drama            ",58
1830,Predestination,2014,7.5,69,230541,R,97 min,"Action, Drama, Mystery            ",75
1831,RoboCop,2014,6.2,52,208044,PG-13,117 min,"Action, Crime, Sci-Fi            ",62
1832,Transcendence,2014,6.3,42,207164,PG-13,119 min,"Drama, Sci-Fi, Thriller            ",63
1833,Teenage Mutant Ninja Turtles,2014,5.8,31,193966,PG-13,101 min,"Action, Adventure, Comedy            ",58
1834,It Follows,2014,6.8,83,189002,R,100 min,"Horror, Mystery, Thriller            ",68
1835,Chef,2014,7.3,68,178830,R,114 min,"Adventure, Comedy, Drama            ",73
1836,Interstellar,2014,8.6,74,1340337,PG-13,169 min,"Adventure, Drama, Sci-Fi            ",86
1837,Guardians of the Galaxy,2014,8,76,976435,PG-13,121 min,"Action, Adventure, Comedy            ",80
1838,Gone Girl,2014,8.1,79,780716,R,149 min,"Drama, Mystery, Thriller            ",81
1839,Captain America: The Winter Soldier,2014,7.8,70,684578,PG-13,136 min,"Action, Adventure, Sci-Fi            ",78
1840,The Grand Budapest Hotel,2014,8.1,88,647624,R,99 min,"Adventure, Comedy, Crime            ",81
1841,Whiplash,2014,8.5,88,637513,R,106 min,"Drama, Music            ",85
1842,The Imitation Game,2014,8,73,632564,PG-13,114 min,"Biography, Drama, Thriller            ",80
1843,X-Men: Days of Future Past,2014,8,75,631163,PG-13,132 min,"Action, Adventure, Sci-Fi            ",80
1844,Edge of Tomorrow,2014,7.9,71,557537,PG-13,113 min,"Action, Sci-Fi            ",79
1845,Kingsman: The Secret Service,2014,7.7,60,555019,R,129 min,"Action, Adventure, Comedy            ",77
1846,Birdman or (The Unexpected Virtue of Ignorance),2014,7.7,87,531981,R,119 min,"Comedy, Drama            ",77
1847,John Wick,2014,7.4,68,480671,R,101 min,"Action, Crime, Thriller            ",74
1848,The Hobbit: The Battle of the Five Armies,2014,7.4,59,445854,PG-13,144 min,"Adventure, Fantasy            ",74
1849,Ex Machina,2014,7.7,78,434595,R,108 min,"Drama, Mystery, Sci-Fi            ",77
1850,Nightcrawler,2014,7.9,76,416591,R,117 min,"Crime, Drama, Thriller            ",79
1851,Lucy,2014,6.4,61,410545,R,89 min,"Action, Sci-Fi, Thriller            ",64
1852,American Sniper,2014,7.3,72,409052,R,133 min,"Action, Biography, Drama            ",73
